"code","name","high","low","close","volume","change_absolute","direction","change_percent","sector","industry","pe_ratio","peg_ratio","eps","divyield","ptb","pts","ebitda","shares","market_cap","52wk_range"
"GSQ.W","G Squared Ascend I WT [Gsqd/W]","1.200","1.180","1.200","1,400","0.000","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"GSQB","G Squared Ascend II Inc Cl A","9.800","9.770","9.800","6,100","0.030","","0.31","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"GSQD","G Squared Ascend I Inc Cl A","9.890","9.890","9.890","69,900","0.000","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"GTES","Gates Industrial Corp Plc","16.03","15.60","15.63","511,200","-0.24","","1.51","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","12.34 - 18.94"
"GTLS","Chart Industries IN","164.6","156.7","157.3","238,000","-3.3","","2.06","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"GTN","Gray Television","21.05","19.86","19.88","957,000","-1.19","","5.65","Consumer Services","Broadcasting","9.58","1.48","1.61","N/A","1.94","1.27","332.14M","71.43M","1.57B","16.30 - 25.24"
"GTN.A","Gray Television Inc Cl A","19.10","18.75","18.75","1,400","-0.51","","2.65","Consumer Services","Broadcasting","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","14.99 - 23.75"
"GTS","Triple-S Management Corp","35.68","35.50","35.65","87,600","0.16","","0.45","Finance","Accident &Health Insurance","31.54","2.72","0.75","N/A","0.64","0.19","21.98M","24.25M","864.62M","20.85 - 36.33"
"GTY","Getty Realty Corp","32.00","31.36","31.43","445,400","-0.39","","1.23","Finance","Real Estate","23.4","N/A","1.21","4.56","2.2","9.63","78.24M","39.24M","1.24B","25.94 - 34.21"
"GUG","Guggenheim Active Allocation Fund","20.11","20.07","20.10","14,600","-0.01","","0.05","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"GUT","Gabelli Utility Trust","8.010","7.960","7.990","43,800","-0.010","","0.13","Finance","Closed-End Fund - Equity","N/A","N/A","0.95","N/A","N/A","N/A","N/A","N/A","N/A","6.70 - 8.32"
"GUT-A","Gabelli Utility Trust [Gut/Pa]","27.58","26.61","27.58","1,100","0.45","","1.67","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.25 - 29.52"
"GUT-C","Gabelli Utility Trust [Gut/Pc]","28.00","26.10","26.10","5,400","-0.01","","0.04","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.33 - 26.83"
"GVA","Granite Construction Inc","38.41","37.00","37.41","987,300","-0.41","","1.08","Basic Industries","Military/Government/Technical","57.46","5.55","1.1","0.9","2.65","0.85","126.96M","39.90M","1.57B","25.85 - 44.31"
"GWB","Great Western Bancorp Inc","33.82","32.48","33.18","318,300","0.67","","2.06","","","17.71","2.09","2.39","1.9","1.43","5.76","N/A","58.66M","1.93B","18.51 - 37.60"
"GWH","Ess Tech Inc","14.69","13.42","13.87","514,100","-0.82","","5.58","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"GWH.W","Ess Tech Inc WT","3.920","3.360","3.450","17,100","-0.670","","16.26","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"GWRE","Guidewire Software Inc","113.6","110.3","111.9","504,700","-2.0","","1.76","","","277.5","4.64","0.28","N/A","6.48","11.26","47.34M","75.03M","8.56B","91.76 - 134.22"
"GWW","W.W. Grainger","509.1","502.6","507.8","151,800","0.9","","0.18","Consumer Services","Office Equipment/Supplies/Services","23.84","6.61","8.38","2.54","6.03","1.12","1.34B","56.97M","29.26B","356.23 - 510.42"
"GXO","Gxo Logistics Inc","87.59","83.50","85.06","1,134,900","-1.45","","1.68","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"H","Hyatt Hotels Corp","84.96","82.92","83.43","1,179,300","0.80","","0.97","Consumer Services","Hotels/Resorts","31.35","12.67","1.99","N/A","2.04","2.87","671.00M","125.08M","10.81B","65.44 - 94.92"
"HAE","Haemonetics Corp","52.90","51.61","51.90","412,500","0.12","","0.23","Health Care","Medical/Dental Instruments","621.82","3.5","0.08","N/A","3.19","2.78","164.54M","52.63M","2.73B","49.26 - 142.11"
"HAL","Halliburton Company","23.10","22.37","22.48","11,353,600","-0.23","","1.01","Energy","Oilfield Services/Equipment","N/A","1.76","N/A","1.75","4.02","2.1","2.51B","871.55M","20.86B","17.23 - 26.75"
"HASI","Hannon Armstrong Sustainable IN","56.54","54.39","54.53","417,400","-2.17","","3.83","","","44.29","2.04","0.55","5.34","1.89","32.13","N/A","51.53M","2.89B","44.69 - 72.42"
"HAYW","Hayward Holdings Inc","25.20","24.14","24.63","798,300","-0.51","","2.03","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"HBB","Hamilton Beach Brands Holding Cl A","13.90","13.16","13.28","53,800","-0.61","","4.39","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","6.84M","98.25M","13.90 - 26.00"
"HBI","Hanesbrands Inc","17.01","16.48","16.70","5,028,400","0.09","","0.54","Consumer Services","Clothing/Shoe/Accessory Stores","14.76","1.14","1.53","2.63","7.71","1.31","1.05B","364.56M","6.40B","13.66 - 22.82"
"HBM","Hudbay Minerals Inc","7.000","6.735","6.750","739,900","-0.200","","2.88","Basic Industries","Precious Metals","185","1.92","0.04","0.2","0.99","1.48","515.02M","237.84M","1.66B","5.22 - 9.60"
"HCA","Hca Holdings Inc","246.3","240.3","245.1","2,054,300","1.0","","0.41","Health Care","Hospital/Nursing Management","10.28","1.13","7.46","N/A","N/A","0.66","8.20B","361.29M","87.99B","156.43 - 263.92"
"HCC","Warrior Met Coal Inc","21.47","20.70","21.23","668,900","0.52","","2.51","Finance","Property-Casualty Insurers","0.42","N/A","62.65","0.75","1.78","1.72","358.52M","53.44M","1.20B","15.07 - 28.40"
"HCI","Homeowners Choice","99.58","93.89","95.08","141,600","-3.26","","3.32","","","10.56","2.28","3.63","3.65","1.49","1.4","79.13M","9.99M","1.01B","50.42 - 139.80"
"HCXY","Hercules Capital Inc 6.25% Notes Due","26.44","26.38","26.44","2,600","0.09","","0.34","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.37 - 27.50"
"HD","Home Depot","405.7","398.1","402.2","4,648,500","-3.0","","0.75","Consumer Services","RETAIL: Building Materials","24.08","1.82","6.95","2.12","55.72","2.03","16.07B","1.18B","489.67B","246.59 - 420.61"
"HDB","Hdfc Bank Ltd ADR","66.13","64.58","64.71","1,192,700","-0.39","","0.60","Finance","Commercial Banks","198.98","0.93","0.46","0.57","32.2","66.99","N/A","5.13B","334.87B","65.34 - 84.70"
"HE","Hawaiian Electric Industries","41.93","40.69","41.34","718,200","0.40","","0.98","Public Utilities","Electric Utilities: Central","16.14","4.86","2.25","3.48","1.87","1.56","544.05M","108.69M","4.40B","32.96 - 45.97"
"HEI","Heico Corp","142.6","138.2","139.1","365,000","-3.3","","2.33","Capital Goods","Aerospace","44.71","3.74","2.04","0.17","6.98","5.29","360.17M","84.46M","12.22B","115.57 - 151.61"
"HEI.A","Heico Cp Cl A","127.9","123.4","124.4","216,500","-3.2","","2.51","Capital Goods","Aerospace","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","104.11 - 139.65"
"HEP","Holly Energy Partners LP","16.33","16.08","16.17","66,200","0.09","","0.56","Energy","Natural Gas Distribution","27.8","3.74","1.21","7.77","4.04","4.99","274.58M","64.42M","1.06B","13.32 - 23.69"
"HEQ","John Hancock Hedged Eqty & Inc","12.72","12.38","12.55","75,900","-0.09","","0.71","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","11.13 - 13.81"
"HES","Hess Corp","77.05","75.13","76.18","2,141,900","-0.88","","1.14","Energy","Integrated oil Companies","N/A","N/A","N/A","2.42","0.94","2.63","1.45B","314.42M","24.89B","52.03 - 92.79"
"HESM","Hess Midstream Partners LP","26.44","25.56","25.68","323,000","-0.17","","0.66","","","8.51","1.64","2.39","5.8","2.22","2.09","357.30M","54.47M","1.42B","18.88 - 30.35"
"HFC","Hollyfrontier Corp","33.01","31.61","31.74","1,755,000","-0.26","","0.81","","","46.03","0.28","0.79","3.66","1.37","0.51","733.52M","175.35M","5.81B","23.60 - 42.39"
"HFR-A","Highland Income Fund [Hfro/Pa]","26.30","25.90","25.97","8,100","-0.24","","0.92","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.20 - 26.67"
"HFRO","Highland Floating Rate Opportunities","11.16","11.01","11.07","237,500","0.07","","0.64","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.64 - 12.15"
"HGH","The Hartford Financial Srvcs G","25.98","25.86","25.87","50,100","-0.10","","0.39","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.00M","623.52M","25.82 - 28.12"
"HGLB","Highland Global Allocation Fund","8.750","8.450","8.730","228,900","0.220","","2.59","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","6.21 - 10.02"
"HGT.W","Hagerty Inc WT","6.500","4.620","4.820","74,600","-0.970","","16.75","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"HGTY","Hagerty Inc","19.70","16.00","16.78","359,400","-2.02","","10.74","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"HGV","Hilton Grand Vacations Inc","48.63","47.03","47.19","706,100","-0.65","","1.36","","","23.15","N/A","1.76","N/A","14.19","2.63","383.00M","99.07M","5.03B","28.76 - 56.33"
"HHC","Howard Hughes Corp","94.13","91.44","91.97","264,400","-1.17","","1.26","Consumer Services","Real Estate Investment Trusts","91.07","5.72","1.4","N/A","1.84","5.13","295.39M","42.84M","4.04B","76.13 - 113.20"
"HHL.U","HH&L Acquisition Co. [Hhla.U]","9.960","9.950","9.950","1,000","-0.040","","0.40","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"HHL.W","HH&L Acquisition Co. WT [Hhla/W]","0.5401","0.4904","0.5014","56,000","-0.0195","","3.74","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"HHLA","HH&L Acquisition Co. Cl A","9.740","9.710","9.740","251,800","0.030","","0.31","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"HI","Hillenbrand Inc","50.00","48.90","48.90","557,400","-0.48","","0.97","Consumer Durables","Miscellaneous manufacturing industries","20.85","1.55","1.93","2.1","3.63","1.6","278.20M","63.11M","3.17B","36.44 - 52.84"
"HIE","Miller/Howard High Income Eqty","9.880","9.730","9.859","115,600","0.019","","0.19","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","7.35 - 10.76"
"HIG","Hartford Financial Services Group","69.13","67.34","68.05","1,963,800","0.81","","1.20","Finance","Property-Casualty Insurers","30.3","1.33","1.82","1.8","1.17","1.09","1.28B","364.31M","24.83B","44.97 - 78.17"
"HIG-G","Hartford Financial Services Grp Inc","26.87","26.72","26.80","7,500","-0.05","","0.19","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","26.30 - 29.24"
"HIG.U","H.I.G. Acquisition Corp [Higa.U]","10.07","10.03","10.07","7,700","0.06","","0.60","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.86 - 11.20"
"HIG.W","H.I.G. Acquisition Corp WT [Higa/W]","0.7100","0.6802","0.7000","16,100","0.0000","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.59 - 2.04"
"HIGA","H.I.G. Acquisition Corp Cl A","9.805","9.800","9.800","12,700","-0.010","","0.10","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.60 - 15.46"
"HII","Huntington Ingalls Industries","190.9","185.7","186.2","315,800","-1.2","","0.61","Capital Goods","Marine Transportation","19.07","7.95","12.24","1.02","6.39","1.46","1.03B","45.40M","8.44B","156.36 - 224.13"
"HIL","Hill International Inc","1.930","1.820","1.850","237,800","-0.050","","2.63","Consumer Services","Military/Government/Technical","N/A","2.29","N/A","N/A","3.25","0.65","2.18M","51.88M","100.13M","1.67 - 3.38"
"HIMS","Hims & Hers Health Inc","5.980","5.470","5.500","4,863,200","-0.390","","6.62","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"HIO","Western Asset High","5.040","5.020","5.020","212,500","-0.040","","0.79","Finance","Closed-End Fund - Debt","N/A","N/A","0.7","N/A","N/A","N/A","N/A","N/A","N/A","4.88 - 5.43"
"HIP.W","Hippo Holdings Inc WT [Hipo/W]","0.6499","0.5513","0.6101","7,900","0.0990","","19.37","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"HIPO","Hippo Holdings Inc","2.800","2.540","2.780","3,227,000","0.080","","2.96","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"HIW","Highwoods Properties","44.30","43.65","44.04","1,222,300","0.14","","0.32","Consumer Services","Real Estate Investment Trusts","40.91","5.08","1.25","3.43","2.45","7.74","366.80M","103.31M","4.57B","36.90 - 48.98"
"HIX","Western Asset High Income Fund II Inc","6.830","6.800","6.830","117,700","0.030","","0.44","Finance","Closed-End Fund - Debt","N/A","N/A","0.75","N/A","N/A","N/A","N/A","N/A","N/A","6.74 - 7.75"
"HKIB","Amtd International Inc ADR","3.210","3.140","3.200","5,800","-0.010","","0.31","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3.09 - 9.75"
"HL","Hecla Mining Company","5.000","4.780","4.790","8,880,100","-0.200","","4.01","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","38.7","N/A","0.12","0.21","1.28","3.11","213.43M","399.16M","2.02B","4.66 - 9.44"
"HL-B","Hecla Mining Co. [Hl/Pb]","59.00","59.00","59.00","100","0.00","","0.00","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","54.12 - 61.00"
"HLF","Herbalife Ltd","37.65","36.52","37.58","1,459,100","0.09","","0.24","Health Care","Other Pharmaceuticals","15.14","N/A","4.76","N/A","32.13","1.45","727.70M","90.15M","3.37B","36.63 - 59.00"
"HLI","Houlihan Lokey","102.5","98.8","101.8","479,000","1.9","","1.86","","","21.63","2.71","1.93","1.94","3.64","3.05","N/A","66.86M","6.65B","63.38 - 119.89"
"HLIO","Helios Technologies Inc","99.11","96.72","96.95","147,100","-1.94","","1.96","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"HLL.W","Holley Inc [Hlly/W]","3.220","3.220","3.220","200","-0.050","","1.53","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"HLLY","Holley Inc","12.44","11.82","11.94","209,600","-0.13","","1.08","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"HLT","Hilton Inc","145.2","141.4","142.0","1,581,200","-0.4","","0.30","Consumer Services","Lodging","599.25","1.82","0.12","0.83","15.56","3.18","2.78B","324.16M","47.37B","98.57 - 154.40"
"HLX","Helix Energy Solutions Group","3.095","2.930","2.950","1,812,100","-0.080","","2.64","Energy","Oilfield Services/Equipment","N/A","N/A","N/A","N/A","0.69","1.89","107.34M","147.56M","479.58M","2.88 - 6.76"
"HMC","Honda Motor Company ADR","28.24","27.88","28.00","867,200","0.23","","0.83","Capital Goods","Auto Manufacturing","9.3","N/A","3.33","2.82","0.8","0.42","12.36B","1.80B","51.31B","26.33 - 33.42"
"HML-A","Hoegh Lng Partners LP [Hmlp/Pa]","18.05","17.65","17.71","33,900","-0.34","","1.88","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","15.83 - 27.01"
"HMLP","Hoegh Lng Partners LP","4.440","4.330","4.390","288,800","-0.010","","0.23","","","9.38","0.43","2.04","9.08","1.73","5.34","89.52M","32.92M","147.48M","3.77 - 18.17"
"HMN","Horace Mann Educators Corp","38.71","37.89","37.96","213,400","0.16","","0.42","Finance","Property-Casualty Insurers","28.69","2.18","1.55","2.5","1.31","1.55","100.59M","40.67M","1.56B","36.36 - 44.74"
"HMY","Harmony Gold Mining Co. Ltd ADR","3.655","3.530","3.580","5,731,600","-0.020","","0.56","Basic Industries","Precious Metals","28.69","N/A","0.06","3.91","0.33","0.5","320.26M","438.70M","1.60B","3.00 - 5.76"
"HNGR","Hanger Inc","17.17","16.54","16.92","123,100","0.39","","2.36","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","16.38 - 26.69"
"HNI","Hon Industries Inc","42.16","40.77","41.28","358,200","-0.48","","1.15","Consumer Durables","Office Equipment/Supplies/Services","25.73","1.9","1.39","3.19","3.19","0.73","220.67M","44.11M","1.87B","32.22 - 46.93"
"HNP","Huaneng Power Intl ADR","23.30","23.00","23.21","45,600","0.71","","3.16","Public Utilities","Electric Utilities: Central","37.1","N/A","0.72","6.32","0.95","0.55","3.83B","380.01M","8.47B","12.79 - 23.36"
"HOG","Harley-Davidson Inc","38.46","37.11","37.82","3,348,600","-0.72","","1.87","Consumer Non-Durables","Motor Vehicles","14.93","1.78","3.2","2.99","4.46","1.5","1.09B","169.94M","6.26B","31.20 - 52.06"
"HOMB","Home Bancshares Inc","24.61","24.01","24.29","724,300","0.29","","1.21","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"HOV","Hovnanian Enterprises Inc","124.3","114.6","117.5","97,300","-2.9","","2.43","Capital Goods","Homebuilding","N/A","1.22","N/A","N/A","N/A","0.13","129.77M","147.59M","19.46B","30.17 - 146.34"
"HP","Helmerich & Payne","24.14","23.14","23.32","1,119,600","-0.32","","1.35","Energy","Oil & Gas Production","N/A","N/A","N/A","5.39","1.33","3.52","373.98M","108.53M","2.70B","20.93 - 36.26"
"HPE","Hewlett Packard Enterprise Comp","14.94","14.55","14.57","13,975,000","-0.22","","1.49","","","198.33","N/A","0.07","1.82","0.8","0.48","6.92B","1.62B","24.64B","11.53 - 16.74"
"HPF","John Hancock Pfd II","20.87","20.77","20.80","21,400","-0.04","","0.19","Finance","Closed-End Fund - Debt","N/A","N/A","1.482","N/A","N/A","N/A","N/A","N/A","N/A","18.22 - 22.93"
"HPI","John Hancock Preferred","20.73","20.61","20.69","32,000","0.07","","0.34","Finance","Closed-End Fund - Debt","N/A","N/A","1.47","N/A","N/A","N/A","N/A","N/A","N/A","18.31 - 22.13"
"HPP","Hudson Pacific Properties","24.86","23.95","24.54","1,194,400","-0.37","","1.49","Finance","Real Estate","95.11","12.8","0.35","2.99","1.41","7.63","289.13M","155.32M","3.93B","22.75 - 30.35"
"HPP-C","Hudson Pacific Properties Inc","25.79","25.45","25.75","159,800","0.19","","0.74","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"HPQ","HP Inc","35.87","34.83","35.60","11,186,700","0.32","","0.91","Technology","Computer Manufacturing","15.62","2.07","1.38","2.47","N/A","0.71","4.20B","1.67B","60.85B","22.91 - 38.49"
"HPS","John Hancock Preferred Income Fund III","18.84","18.66","18.72","36,100","-0.12","","0.64","Finance","Closed-End Fund - Debt","N/A","N/A","1.38","N/A","N/A","N/A","N/A","N/A","N/A","16.34 - 19.89"
"HPX","Hpx Corp Cl A","9.850","9.849","9.850","9,900","-0.023","","0.23","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.60 - 11.38"
"HPX.U","Hpx Corp Units","10.17","10.17","10.17","400","-0.01","","0.10","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.97 - 12.15"
"HPX.W","Hpx Corp WT","0.6601","0.6010","0.6501","26,100","-0.0525","","7.47","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.53 - 2.10"
"HQH","Tekla Healthcare Investors","23.65","23.44","23.49","86,300","-0.18","","0.76","Finance","Closed-End Fund - Equity","N/A","N/A","2.46","N/A","N/A","N/A","N/A","N/A","N/A","22.18 - 28.05"
"HQL","Tekla Life Sciences Investors","18.97","18.65","18.71","88,600","-0.29","","1.53","Finance","Closed-End Fund - Equity","N/A","N/A","3.98","N/A","N/A","N/A","N/A","N/A","N/A","18.30 - 22.70"
"HR","Healthcare Realty Trust Inc","31.83","30.77","31.13","1,845,300","-0.53","","1.67","Consumer Services","Real Estate Investment Trusts","31.09","4.54","1.04","3.77","2.25","8.86","236.35M","116.61M","3.70B","28.00 - 33.77"
"HRB","H&R Block","23.79","23.49","23.57","2,449,900","0.08","","0.34","Consumer Services","Other Consumer Services","13.86","1.35","1.9","3.62","N/A","1.82","900.03M","208.98M","4.93B","14.91 - 26.51"
"HRC","Hill-Rom Holdings Inc","156.0","155.9","156.0","566,400","0.1","","0.03","Health Care","Medical/Dental Instruments","46.89","1.75","1.72","0.9","4.1","1.94","465.30M","65.87M","10.27B","93.34 - 156.22"
"HRI","Herc Holdings Inc","173.5","163.2","163.6","331,200","-10.2","","5.89","","","N/A","4.77","N/A","N/A","5.14","0.83","108.90M","28.32M","5.02B","59.34 - 203.14"
"HRL","Hormel Foods Corp","48.17","47.11","47.90","4,012,900","0.62","","1.31","Consumer Non-Durables","Meat/Poultry/Fish","18.75","12.02","1.62","2.24","3.37","1.72","1.41B","527.98M","24.29B","40.48 - 50.86"
"HRT","Hireright Holdings Corp","15.05","13.90","14.62","356,500","-0.17","","1.15","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"HRTG","Heritage Insurance Holdings","6.030","5.780","5.790","266,900","-0.170","","2.85","","","23.2","N/A","0.71","1.45","1.28","1.21","43.38M","29.70M","184.74M","5.47 - 12.20"
"HSBC","HSBC Holdings Plc ADR","28.94","28.62","28.73","2,014,600","0.32","","1.13","","","100.37","N/A","0.49","4.08","1.19","4.63","N/A","4.05B","117.93B","24.31 - 32.43"
"HSC","Harsco Corp","16.13","15.68","15.76","326,900","-0.08","","0.51","Capital Goods","Metal Fabrications","N/A","1.65","N/A","N/A","11.82","1.14","263.55M","80.47M","1.30B","13.29 - 23.73"
"HSY","Hershey Foods Corp","189.4","186.9","187.7","770,500","-1.0","","0.51","Consumer Non-Durables","Specialty Foods","33.25","2.65","3.13","2.55","25.55","2.91","1.72B","212.43M","39.62B","143.58 - 184.66"
"HT","Hersha Hospitality Trust","8.990","8.670","8.750","185,800","-0.030","","0.34","Consumer Services","Real Estate Investment Trusts","7.61","0.29","2.28","6.43","0.81","1.54","138.69M","41.83M","384.04M","7.44 - 13.05"
"HT-C","Hersha Hospitality TR [Ht/Pc]","24.30","23.90","24.16","17,200","0.21","","0.88","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","18.00 - 26.09"
"HT-D","Hersha Hospitality TR [Ht/Pd]","23.39","23.20","23.36","11,900","0.15","","0.65","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","18.07 - 25.63"
"HT-E","Hersha Hospitality TR [Ht/Pe]","23.74","23.13","23.26","30,000","-0.39","","1.65","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","18.21 - 25.68"
"HTA","Healthcare Trust of America","34.07","33.35","33.43","2,139,900","-0.76","","2.22","","","146.23","N/A","0.2","4.14","1.83","11.71","301.67M","200.80M","6.79B","25.85 - 34.83"
"HTA.U","Hunt Companies Acquisition Corp [Htaq.U]","10.14","10.07","10.10","106,400","0.04","","0.40","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"HTD","John Hancock Tax Advantaged Dividend","24.80","24.57","24.61","26,700","-0.06","","0.24","Finance","Closed-End Fund - Debt","N/A","N/A","3.72","N/A","N/A","N/A","N/A","N/A","N/A","20.58 - 25.98"
"HTFB","Horizon Technology Finance Corp","26.00","25.95","25.95","4,400","-0.21","","0.78","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"HTGC","Hercules Technology Growth Capital","16.47","16.28","16.32","830,600","-0.11","","0.67","","","13.99","2.13","0.9","9.97","1.26","5.5","140.30M","83.14M","1.38B","13.70 - 18.20"
"HTH","Hilltop Holdings Inc","35.18","33.79","35.11","746,100","1.39","","4.12","Finance","Property-Casualty Insurers","14.21","1.13","1.79","0.94","1.31","1.47","N/A","96.46M","3.31B","25.73 - 39.60"
"HTP.U","Highland Transcend Partners I Corp","10.43","10.35","10.43","101,400","-0.17","","1.60","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.86 - 11.50"
"HTP.W","Highland Transcend Partners I Corp WT","1.600","1.560","1.600","44,300","-0.030","","1.84","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"HTPA","Highland Transcend Partners I Corp Cl A","9.940","9.910","9.910","157,300","-0.005","","0.05","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"HTY","John Hancock Tax-Advantaged Global","6.160","6.090","6.110","122,200","-0.080","","1.29","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","5.44 - 7.04"
"HUBB","Hubbell Inc B","211.4","205.4","206.3","312,800","-3.7","","1.78","","","23.89","2.3","5.27","2.44","4.33","1.94","606.70M","54.71M","11.40B","149.07 - 212.54"
"HUBS","Hubspot Inc","714.3","674.7","687.7","805,600","-38.4","","5.29","","","N/A","55.9","N/A","N/A","15.13","9.75","N/A","36.99M","26.76B","347.78 - 866.00"
"HUG.U","Ushg Acquisition Corp [Hugs.U]","10.88","10.82","10.88","1,200","-0.07","","0.59","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"HUG.W","Ushg Acquisition Corp [Hugs/W]","1.750","1.680","1.680","15,000","-0.090","","5.08","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"HUGS","Ushg Acquisition Corp Cl A","10.33","10.25","10.27","252,200","-0.05","","0.48","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"HUM","Humana Inc","467.5","459.8","461.9","985,300","-2.5","","0.54","Health Care","Hospital And Medical Service Plans","21.3","1.63","12.16","0.64","3.32","0.67","2.66B","144.53M","66.66B","370.22 - 475.44"
"HUN","Huntsman Corp","32.27","31.69","31.91","1,208,400","-0.03","","0.09","Basic Industries","Major Chemicals","17.61","1.83","1.76","1.68","4.26","0.73","1.18B","240.18M","7.90B","24.10 - 34.47"
"HUYA","Huya Inc ADR","7.618","7.150","7.340","1,637,200","-0.140","","1.87","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","6.08 - 36.33"
"HVT","Haverty Furniture Companies","32.42","31.04","31.19","334,900","-0.11","","0.35","Consumer Services","Other Specialty Stores","17.5","1.61","1.42","2.39","1.84","0.64","78.21M","21.22M","665.61M","24.54 - 52.84"
