"code","name","high","low","close","volume","change","direction","price","sector","industry","pe_ratio","peg_ratio","eps","divyield","ptb","pts","ebitda","shares","market_cap","52wk_range"
"IIP-A","Innovative Indl Pptys Inc [Iipr/Pa]","32.20","31.50","32.00","1,923","-0.41","","1.27","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","29.40 - 40.00"
"IIPR","Innovative Industrial Properties","254.9","243.5","246.4","249,452","-8.9","","3.48","","","N/A","N/A","N/A","3.09","1.13","148.39","N/A","3.50M","893.61M","158.28 - 288.02"
"IMAX","Imax Corp","18.19","16.89","17.41","545,843","-0.86","","4.71","Miscellaneous","Industrial Machinery/Components","168.24","2.72","0.15","N/A","2.94","4.34","72.50M","64.66M","1.18B","13.60 - 25.05"
"IMP.U","Aea Bridges Impact Corp [Impx.U]","11.00","10.65","10.85","220,691","0.59","","5.75","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","10.00 - 12.41"
"IMP.W","Aea Bridges Impact Corp WT [Impx/W]","1.500","1.200","1.380","6,565,052","0.570","","70.37","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.58 - 2.33"
"IMPX","Aea-Bridges Impact Corp Cl A","10.32","10.04","10.20","13,370,787","0.35","","3.55","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.58 - 11.42"
"INA.U","Insight Acquisition Corp [Inaq.U]","10.05","10.05","10.05","100","0.07","","0.70","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"INA.W","Insight Acquisition Corp WT [Inaq/W]","0.5300","0.5000","0.5000","850","0.0000","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"INAQ","Insight Acquisition Corp Cl A","9.750","9.750","9.750","106","-0.030","","0.31","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"INFA","Informatica Inc Cl A","38.70","35.30","36.57","571,616","-1.94","","5.04","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"INFO","IHS Markit Ltd","135.0","133.0","134.4","668,225","1.6","","1.17","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","83.26 - 132.91"
"INFY","Infosys Ltd ADR","23.04","22.58","22.64","3,608,956","-0.54","","2.33","","","15.81","1.62","0.95","2.66","3.23","3.31","2.81B","2.29B","53.01B","15.49 - 24.28"
"ING","ING Groep N.V. ADR","13.78","13.60","13.67","3,237,776","-0.19","","1.37","Finance","Life Insurance","12.07","N/A","1.53","3.05","1.21","3.45","N/A","3.88B","53.87B","8.66 - 15.65"
"INGR","Ingredion Inc","96.36","94.22","95.05","437,107","-1.30","","1.35","","","18.95","8.7","6.65","1.91","3.36","1.55","1.05B","71.73M","6.91B","73.82 - 101.30"
"INN","Summit Hotel Properties","9.410","9.000","9.000","417,826","-0.450","","4.76","Consumer Services","Real Estate Investment Trusts","17.18","N/A","0.91","4.33","1.36","3.44","154.58M","104.46M","987.13M","8.06 - 11.32"
"INN-E","Summit Hotel Pptys Inc [Inn/Pe]","24.85","24.75","24.75","4,923","-0.09","","0.36","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","21.62 - 27.29"
"INN-F","Summit Hotel Properties Inc","25.33","24.66","25.03","2,321","-0.57","","2.23","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"INS","Intelligent Systems Corp","41.59","39.59","39.59","57,428","-1.78","","4.30","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"INS-A","International Seaways Inc [Insw/Pa]","26.30","26.30","26.30","400","-0.36","","1.35","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.21 - 27.29"
"INSI","Insight Select Income Fund","21.19","21.08","21.14","12,378","0.05","","0.24","","","N/A","N/A","1.45","N/A","N/A","N/A","N/A","N/A","N/A","19.90 - 23.27"
"INSP","Inspire Medical Systems Inc","224.0","216.1","221.5","146,675","1.5","","0.68","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","159.18 - 286.29"
"INST","Instructure Holdings Inc","24.76","21.97","22.75","186,566","-1.39","","5.76","","","N/A","N/A","N/A","N/A","N/A","7.25","N/A","29.38M","709.21M","37.06 - 54.31"
"INSW","International Seaways Inc","15.82","15.24","15.40","378,718","-0.59","","3.69","","","N/A","N/A","N/A","N/A","0.49","1.77","85.71M","29.25M","467.67M","13.77 - 22.39"
"INT","World Fuel Services Corp","27.16","26.33","26.49","189,413","-0.94","","3.43","Energy","Oil Refining/Marketing","19.95","1.63","1.53","0.67","1.24","0.08","259.20M","68.59M","1.88B","24.29 - 37.68"
"INVH","Invitation Homes Inc","43.47","42.75","43.33","2,304,776","0.60","","1.40","","","N/A","N/A","N/A","1.39","1.94","7.47","430.36M","311.41M","13.31B","27.44 - 43.58"
"IO","ION Geophysical Corp","1.500","1.410","1.440","355,006","-0.110","","7.10","Energy","Oil & Gas Production","N/A","N/A","N/A","N/A","4.18","0.48","49.11M","11.88M","18.42M","0.98 - 5.35"
"ION.W","Ionq Inc WT [Ionq/W]","7.670","5.980","6.400","189,827","-1.070","","14.32","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"IONQ","Ionq Inc","19.23","16.62","16.67","5,368,255","-1.90","","10.23","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"IP","International Paper Company","46.12","45.27","46.01","3,287,092","0.12","","0.26","Basic Industries","Paper","29.43","1.58","1.97","3.28","5.27","1.09","3.22B","412.94M","18.95B","45.07 - 65.27"
"IPG","Interpublic Group of Companies","37.06","36.39","36.91","2,838,082","-0.12","","0.32","Technology","Advertising","14.16","1.36","1.39","3.66","4","1.01","1.09B","393.49M","14.57B","22.99 - 39.35"
"IPI","Intrepid Potash Inc","42.49","40.19","40.36","119,643","-1.88","","4.45","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","N/A","0.34","N/A","N/A","1.16","3.49","N/A","122.62M","5.18B","15.08 - 52.91"
"IPO.D","Social Capital Hedosophia IV Unit","10.87","10.75","10.86","27,050","0.02","","0.18","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","10.20 - 19.47"
"IPO.F","Social Capital Hedosophia VI Unit","10.98","10.76","10.93","19,409","-0.03","","0.27","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","10.03 - 19.35"
"IPO.V","Social Capital Hedosophia IV WT [Ipod/W]","2.280","2.120","2.160","45,653","-0.140","","6.09","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1.35 - 6.68"
"IPO.Z","Social Capital Hedosophia VI WT [Ipof/W]","2.350","2.160","2.350","197,141","0.000","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1.20 - 6.97"
"IPOD","Social Capital Hedosophia Corp IV Cl A","10.35","10.20","10.30","256,645","0.02","","0.19","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.82 - 18.31"
"IPOF","Social Capital Hedosophia Corp VI Cl A","10.43","10.32","10.35","1,695,773","-0.06","","0.58","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.77 - 17.81"
"IPV.D","Interprivate II Acquisition Corp","9.907","9.907","9.907","1,800","-0.053","","0.54","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"IPV.S","Interprivate III Finl Partners [Ipvf.U]","10.09","10.09","10.09","400","-0.19","","1.85","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"IPV.T","Interprivate III Finl Partners WT","1.510","1.500","1.500","2,171","-0.290","","16.20","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"IPV.V","Interprivate II Acquisition Corp WT","0.9800","0.9800","0.9800","2,503","0.0000","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"IPVA","Interprivate II Acquisition Corp Cl A","9.750","9.710","9.730","28,617","0.000","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"IPVF","Interprivate III Financial Partners Inc","9.950","9.900","9.920","44,810","0.020","","0.20","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"IQI","Invesco Quality Muni Income Trust","13.34","13.24","13.31","47,738","0.05","","0.38","Finance","Closed-End Fund - Debt","N/A","N/A","0.102","N/A","N/A","N/A","N/A","N/A","N/A","12.41 - 13.98"
"IQV","Iqvia Holdings Inc","271.5","268.4","270.6","466,293","0.3","","0.11","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","165.52 - 272.93"
"IR","Ingersoll Rand Inc","60.30","59.47","59.83","1,338,613","0.24","","0.40","Capital Goods","Auto Parts:O.E.M.","22.63","2.1","4.03","1.99","3.43","1.66","1.98B","253.65M","15.11B","40.64 - 62.06"
"IRL","Irish Investment Fund","12.60","12.45","12.45","1,805","-0.03","","0.24","Finance","Closed-End Fund - Foreign","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.86 - 13.55"
"IRM","Iron Mountain Inc","49.75","48.40","49.52","1,683,814","1.10","","2.27","Consumer Services","Office Equipment/Supplies/Services","54.87","1.07","0.73","5.93","5.65","2.78","1.21B","264.50M","12.81B","27.72 - 49.58"
"IRN.W","Ironnet Inc WT [Irnt.W]","1.670","1.530","1.530","46,173","-0.150","","8.93","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"IRNT","Ironnet Inc","7.370","6.660","6.670","1,646,964","-0.480","","6.71","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"IRR.U","Integrated Rail & Resources Acquisition","10.050","10.000","10.000","713","-0.050","","0.50","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"IRS","Irsa Inversiones Y Representaciones S.A.","4.710","4.410","4.490","12,422","-0.090","","1.97","Consumer Services","Homebuilding","9.25","N/A","3.03","N/A","1.09","0.38","571.80M","57.46M","263.16M","3.48 - 5.17"
"IRS.W","Irsa Inversiones Y Representaciones S.A.","0.1701","0.1564","0.1701","19,300","0.0001","","0.06","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"IRT","Independence Realty Trust Inc","25.06","24.19","24.98","1,032,367","0.49","","2.00","","","N/A","4.53","N/A","6.92","1.42","4.62","30.95M","68.85M","1.69B","12.88 - 25.86"
"IS","Ironsource Ltd Cl A","8.230","7.700","7.710","1,451,562","-0.420","","5.17","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ISD","Prudential Short Duration High","15.78","15.75","15.76","64,931","0.00","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","14.70 - 16.66"
"ISO.U","Isos Acquisition Corp Units [Isos.U]","10.32","10.07","10.32","1,576","0.10","","0.98","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ISO.W","Isos Acquisition Corp WT [Isos/W]","1.160","1.100","1.110","29,338","-0.010","","0.89","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"ISOS","Isos Acquisition Corp Cl A","10.050","9.780","9.970","34,748","0.170","","1.73","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"IT","Gartner Inc","323.8","317.9","320.5","256,341","-1.5","","0.46","Consumer Services","Other Consumer Services","256.98","2.03","0.49","N/A","13.24","4.12","373.34M","90.61M","29.18B","149.74 - 369.00"
"ITCB","Itau Corpbanca ADR","3.090","3.010","3.030","3,455","-0.060","","1.94","","","N/A","N/A","N/A","0.02","0.93","3.74","N/A","341.91M","1.06B","2.91 - 6.23"
"ITGR","Integer Holdings Corp","83.91","81.93","83.56","81,888","0.40","","0.48","","","84.79","1.83","0.58","N/A","2.01","1.12","275.57M","31.61M","2.63B","73.32 - 101.61"
"ITT","ITT Inc","101.5","100.1","100.4","187,169","-0.6","","0.55","Capital Goods","Fluid Controls","20.13","1.6","2.34","1.08","2.7","1.72","360.20M","88.09M","8.89B","74.46 - 105.54"
"ITUB","Itau Unibanco Banco Holding S.A. ADR","3.920","3.760","3.760","29,932,379","-0.110","","2.84","Finance","Major Banks","11.75","1.71","1.14","0.43","2.18","3.01","N/A","6.50B","25.22B","3.83 - 6.76"
"ITW","Illinois Tool Works Inc","244.7","242.1","243.9","508,651","1.2","","0.47","Technology","Industrial Machinery/Components","25.74","2.31","6.18","1.98","11.36","3.88","3.70B","344.15M","83.55B","192.89 - 244.45"
"IVA.U","Ivanhoe Cap Acquisition Corp Unit","10.76","10.70","10.70","3,150","-0.21","","1.92","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"IVA.W","Ivanhoe Cap Acquisition Corp WT [Ivan/W]","2.270","2.060","2.150","64,334","-0.120","","5.29","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"IVAN","Ivanhoe Capital Acquisition Corp Cl A","10.10","10.01","10.02","794,267","-0.11","","1.09","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"IVC","Invacare Corp","2.800","2.580","2.630","744,099","-0.170","","6.05","Health Care","Industrial Specialties","N/A","N/A","N/A","0.33","1.15","0.5","N/A","32.87M","92.37M","2.18 - 10.94"
"IVH","Ivy High Income Opportunities","13.68","13.60","13.67","130,458","0.05","","0.37","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","16.57M","225.64M","12.76 - 14.34"
"IVR","Invesco Mortgage Capital Inc","3.040","2.930","2.980","5,876,498","-0.040","","1.32","Consumer Services","Real Estate Investment Trusts","4.18","N/A","4.19","9.45","0.95","3.18","N/A","111.74M","338.59M","2.93 - 4.60"
"IVR-B","Invesco Mortgage Capital Inc [Ivr/Pb]","24.99","24.72","24.81","19,426","-0.16","","0.64","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","23.14 - 26.02"
"IVR-C","Invesco Mortgage Capital Inc [Ivr/Pc]","25.20","25.04","25.12","4,545","0.00","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","22.91 - 25.99"
"IVT","Inventrust Pptys Corp","27.36","26.85","27.17","767,923","0.32","","1.19","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"IVZ","Invesco Plc","23.11","22.57","22.95","2,710,091","-0.19","","0.82","Finance","Investment Managers","16.45","0.99","2.24","3.12","1.9","3.12","1.37B","406.89M","9.42B","16.82 - 29.71"
"IX","Orix Corp ADR","100.28","99.76","99.82","22,820","0.00","","0.00","Finance","Diversified Financial Services","8.37","N/A","10.14","N/A","0.93","0.82","6.33B","255.77M","25.53B","72.71 - 104.05"
"J","Jacobs Engineering Group Inc","144.0","139.8","141.0","360,926","-2.4","","1.70","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","100.05 - 149.55"
"JAT.U","Jatt Acquisition Corp [Jatt.U]","10.09","10.02","10.02","1,200","-0.07","","0.69","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"JAT.W","Jatt Acquisition Corp WT [Jatt/W]","0.4700","0.4400","0.4400","3,100","-0.0600","","12.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"JATT","Jatt Acquisition Corp Cl A","9.856","9.856","9.856","300","0.016","","0.16","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"JBGS","Jbg Smith Properties","28.42","27.55","28.31","612,924","0.17","","0.60","","","N/A","N/A","0.4","N/A","N/A","N/A","N/A","118.08M","3.32B","27.12 - 34.98"
"JBI","Janus International Group Inc","12.14","11.72","12.04","490,340","0.02","","0.17","Finance","Finance: Consumer Services","N/A","N/A","N/A","7.68","N/A","N/A","N/A","N/A","N/A","25.12 - 27.35"
"JBK","Lehman Abs Corp","31.97","31.00","31.97","200","0.97","","3.12","Finance","Finance: Consumer Services","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.29 - 33.85"
"JBL","Jabil Circuit","65.45","63.71","64.35","815,803","-1.05","","1.61","Technology","Electrical Products","41.22","0.9","0.69","1.15","2.12","0.26","1.33B","178.62M","11.68B","39.32 - 65.79"
"JBT","John Bean Technologies Corp","161.4","157.6","158.4","61,790","-3.6","","2.20","Technology","Industrial Machinery/Components","42.62","2.33","2.58","0.36","8.73","2.37","166.80M","31.62M","5.12B","110.53 - 177.56"
"JCE","Nuveen Core Equity Alpha Fund","17.29","16.87","17.12","28,118","-0.12","","0.70","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","13.55 - 17.99"
"JCI","Johnson Controls Intl","79.63","78.50","79.01","1,969,928","-0.31","","0.39","Consumer Durables","Industrial Specialties","N/A","1.27","N/A","2.37","1.99","0.87","4.37B","932.33M","73.95B","44.91 - 81.15"
"JCO","Nuveen Credit Opportunities 2022 Target","8.140","8.120","8.130","88,171","0.000","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.50M","207.32M","7.96 - 8.79"
"JDD","Nuveen Diversified Dividend and","10.86","10.73","10.74","20,300","-0.04","","0.37","Finance","Closed-End Fund - Debt","N/A","N/A","1.08","N/A","N/A","N/A","N/A","N/A","N/A","8.53 - 11.05"
"JEF","Jefferies Financial Group Inc","38.33","37.54","37.71","587,633","-0.59","","1.54","Finance","Investment Bankers/Brokers/Service","17.54","1.3","1.222","1.4","1.32","1.55","N/A","211.35M","8.09B","22.87 - 44.47"
"JELD","Jeld-Wen Holding Inc","25.67","24.98","25.37","475,196","-0.40","","1.55","","","223.99","0.86","0.16","N/A","4.76","1.04","332.75M","105.18M","2.71B","22.70 - 31.47"
"JEMD","Nuveen Emerging Markets Debt 2022 Target","7.670","7.610","7.670","41,755","0.010","","0.13","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","13.00M","99.58M","7.35 - 8.43"
"JEQ","Japan Equity Fund","8.950","8.820","8.840","15,102","-0.100","","1.12","Finance","Closed-End Fund - Foreign","N/A","N/A","1.11","N/A","N/A","N/A","N/A","N/A","N/A","8.47 - 10.26"
"JFR","Nuveen Floating Rate","10.26","10.18","10.20","124,888","-0.04","","0.39","Finance","Closed-End Fund - Equity","N/A","N/A","1.93","N/A","N/A","N/A","N/A","N/A","N/A","8.69 - 10.45"
"JGH","Nuveen Global High Income Fund","15.52","15.41","15.49","67,724","-0.01","","0.06","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","14.97 - 16.38"
"JHAA","Nuveen High Income 2023 Target Term Fund","9.970","9.950","9.970","2,600","0.030","","0.30","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.48 - 10.66"
"JHG","Janus Henderson Group Plc","41.91","40.86","41.24","602,828","-0.76","","1.81","","","32.29","1.06","1.07","3.65","1.59","6.46","269.88M","196.41M","8.25B","27.96 - 48.55"
"JHI","John Hancock Investors Trust","18.74","18.50","18.58","7,834","-0.10","","0.54","Finance","Closed-End Fund - Equity","N/A","N/A","2.27","N/A","N/A","N/A","N/A","N/A","N/A","16.98 - 19.18"
"JHS","John Hancock Income Securities Trust","15.25","15.16","15.18","3,587","-0.02","","0.13","Finance","Closed-End Fund - Equity","N/A","N/A","0.12","N/A","N/A","N/A","N/A","N/A","N/A","15.09 - 16.96"
"JHX","James Hardie Industries Se ADR","40.59","40.00","40.06","16,193","-0.95","","2.32","Capital Goods","Building Materials","27.07","N/A","0.56","2.54","N/A","3.38","429.50M","440.85M","18.08B","27.50 - 41.85"
"JILL","J. Jill Inc","15.77","13.84","14.57","39,588","-0.82","","5.33","","","8.21","0.41","0.68","N/A","1.69","0.36","105.26M","43.75M","673.27M","3.41 - 24.50"
"JKS","Jinkosolar Holding Company Ltd ADR","47.85","45.02","46.63","837,729","0.87","","1.90","Technology","Semiconductors","4.01","N/A","6.44","N/A","0.8","0.22","204.44M","32.55M","1.49B","28.39 - 85.32"
"JLL","Jones Lang Lasalle Inc","260.1","251.0","258.4","212,137","-1.7","","0.64","Finance","Real Estate","19.23","1.62","6.62","0.55","1.93","0.79","651.60M","45.30M","11.78B","141.39 - 273.19"
"JLS","Nuveen Mortgage Opportunity Term Fund","21.10","20.89","20.96","7,550","0.09","","0.43","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","19.36 - 21.82"
"JMIA","Jumia Technologies Ag ADR","13.15","12.18","12.45","4,156,047","-0.52","","4.01","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.94 - 69.89"
"JMM","Nuveen Multi-Market Income Fund Inc","7.490","7.360","7.400","4,532","-0.010","","0.13","","","N/A","N/A","0.5","N/A","N/A","N/A","N/A","N/A","N/A","6.42 - 7.71"
"JMP","JMP Group Inc","7.510","7.490","7.500","41,700","0.020","","0.27","Finance","Investment Bankers/Brokers/Service","N/A","N/A","N/A","6.55","1.13","0.99","N/A","21.54M","161.52M","2.94 - 8.99"
"JNJ","Johnson & Johnson","169.2","163.8","168.9","7,819,293","3.4","","2.05","Consumer Durables","Major Pharmaceuticals","24.66","2.79","5.75","2.37","5.29","5.12","25.02B","2.68B","444.18B","148.99 - 179.92"
"JNPR","Juniper Networks","34.25","33.42","34.09","3,244,899","0.09","","0.26","Technology","Computer Communications Equipment","15.08","0.96","1.67","1.61","1.86","1.82","1.21B","380.16M","12.93B","21.42 - 33.11"
"JOB.W","Joby Aviation Inc WT","1.800","1.580","1.650","75,938","-0.090","","5.17","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"JOBY","Joby Aviation Inc","7.050","6.270","6.400","3,545,711","-0.380","","5.60","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"JOE","St. Joe Company","49.81","48.07","48.88","90,739","-1.27","","2.53","Consumer Services","Homebuilding","64.87","N/A","0.28","N/A","2.02","14.16","8.60M","70.17M","3.52B","34.94 - 57.55"
"JOF","Japan Smaller Capitalization Fund Inc","8.280","8.190","8.200","118,806","-0.070","","0.85","Finance","Closed-End Fund - Foreign","N/A","N/A","2.52","N/A","N/A","N/A","N/A","N/A","N/A","7.97 - 9.81"
"JP","Jupai Holdings Ltd ADR","1.100","1.030","1.060","135,695","0.010","","0.95","","","13.29","N/A","1.56","2.41","2.89","3.02","82.45M","29.90M","31.39M","0.95 - 4.97"
"JPC","Nuveen Preferred and Convertible","9.460","9.370","9.370","200,745","-0.060","","0.64","Finance","Closed-End Fund - Debt","N/A","N/A","1.16","N/A","N/A","N/A","N/A","N/A","N/A","9.02 - 10.07"
"JPI","Nuveen Preferred and Income Term Fund","24.65","24.45","24.49","22,071","-0.16","","0.65","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","23.48 - 26.48"
"JPM","JP Morgan Chase & Company","159.8","157.3","157.8","7,399,780","-2.0","","1.25","Finance","Major Banks","14.66","1.75","6.94","2.2","1.55","3.85","N/A","3.53B","564.92B","118.11 - 172.96"
"JPM-C","Jpmorgan Chase & Co. [Jpm/Pc]","27.08","26.94","27.04","93,971","0.10","","0.37","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","26.62 - 28.87"
"JPM-D","Jpmorgan Chase & Co. [Jpm/Pd]","26.51","26.44","26.49","94,617","0.04","","0.15","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","26.19 - 28.75"
"JPM-J","Jpmorgan Chase & Co. [Jpm/Pj]","25.95","25.80","25.93","47,787","0.05","","0.19","Finance","Major Banks","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.32 - 27.82"
"JPM-K","Jpmorgan Chase & Co.","25.73","25.59","25.73","86,791","0.02","","0.08","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.32 - 25.50"
"JPM-L","Jpmorgan Chase & Co.","25.84","25.66","25.81","98,599","0.05","","0.19","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"JPM-M","Jpmorgan Chase & Co.","24.97","24.80","24.94","200,787","0.09","","0.36","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"JPS","Nuveen Quality Preferred 2","9.470","9.330","9.340","376,294","-0.120","","1.27","Finance","Closed-End Fund - Debt","N/A","N/A","0.96","N/A","N/A","N/A","N/A","N/A","N/A","9.12 - 10.07"
"JPT","Nuveen Preferred and Income 2022 Term","24.30","24.25","24.30","4,278","0.00","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","23.67 - 26.40"
"JQC","Nuveen Preferred and Convertible 2","6.420","6.370","6.380","481,549","-0.050","","0.78","Finance","Closed-End Fund - Debt","N/A","N/A","1.24","N/A","N/A","N/A","N/A","N/A","N/A","6.14 - 6.81"
"JRI","Nuveen Real Asset Income and Gr","15.19","15.05","15.16","103,840","0.04","","0.26","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","13.13 - 16.50"
"JRO","Nuveen Floating Rate Income Opportuntiy","10.10","10.03","10.03","116,471","-0.06","","0.59","Finance","Closed-End Fund - Debt","N/A","N/A","1.97","N/A","N/A","N/A","N/A","N/A","N/A","8.61 - 10.48"
"JRS","Nuveen Real Estate Fund","12.14","12.01","12.09","58,738","0.00","","0.00","","","N/A","N/A","0.66","8.77","N/A","N/A","N/A","N/A","N/A","8.01 - 12.24"
"JSD","Nuveen Short Duration Credit O","14.83","14.66","14.66","22,905","-0.10","","0.68","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","13.08 - 15.50"
"JT","Jianpu Technology Inc ADR","1.150","1.040","1.100","213,256","0.030","","2.80","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.73 - 5.39"
"JTA","Nuveen Tax-Advantaged Total Return","11.62","11.53","11.53","14,200","-0.04","","0.35","Finance","Closed-End Fund - Debt","N/A","N/A","0.63","N/A","N/A","N/A","N/A","N/A","N/A","9.00 - 12.18"
"JTD","Nuveen Tax-Advantaged Dividend Growth","16.98","16.71","16.72","48,000","-0.11","","0.65","","","N/A","N/A","1.07","N/A","N/A","N/A","N/A","N/A","N/A","13.53 - 17.70"
"JUN.U","Juniper II Corp. Units Each Consisting","10.15","10.10","10.12","6,300","-0.03","","0.30","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"JW.A","John Wiley Sons Cl A","55.04","54.45","54.91","130,284","-0.75","","1.35","Consumer Services","Books","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","43.00 - 66.04"
"JW.B","John Wiley Sons Cl B","58.65","55.56","55.56","2,500","1.56","","2.89","Consumer Services","Books","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","43.17 - 65.63"
