"","code","name","high","low","close","volume","change","direction","price","sector","industry","pe_ratio","peg_ratio","eps","divyield","ptb","pts","ebitda","shares","market_cap","52wk_range"
"1711","HYB","New America High","9.350","9.260","9.270","47,079","-0.070","","0.75","Finance","Closed-End Fund - Debt","N/A","N/A","1.81","N/A","N/A","N/A","N/A","N/A","N/A","8.46 - 10.44"
"1712","HYI","Western Asset High Yield Defined","15.31","15.08","15.08","55,906","-0.17","","1.11","Finance","Closed-End Fund - Debt","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","14.90 - 16.64"
"1713","HYLN","Hyliion Hldg Corp Cl A","6.580","6.190","6.240","1,706,380","-0.040","","0.64","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","5.63 - 22.25"
"1714","HYT","Blackrock High Yield Fund VI Inc","12.13","12.00","12.04","452,574","-0.06","","0.50","Finance","Closed-End Fund - Equity","N/A","N/A","2.46","N/A","N/A","N/A","N/A","N/A","N/A","11.00 - 12.69"
"1715","HZN","Horizon Global Corp Comm","8.150","7.890","8.070","12,932","0.100","","1.25","","","N/A","1.58","N/A","N/A","2.92","0.56","58.76M","24.94M","201.23M","6.62 - 11.78"
"1716","HZO","Marinemax Inc","57.10","55.72","56.74","161,917","0.59","","1.05","Consumer Services","Other Specialty Stores","15.85","0.61","1","N/A","1.17","0.38","53.94M","24.28M","1.38B","30.12 - 70.89"
"1717","HZO.U","Horizon Acquisition Corp II 6.375%","10.31","10.31","10.31","497","0.01","","0.10","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.96 - 13.19"
"1718","HZO.W","Horizon Acquisition Corp II WT [Hzon/W]","1.230","1.150","1.200","28,918","0.000","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.82 - 3.27"
"1719","HZON","Horizon Acquisition Corp II Cl A","9.940","9.880","9.940","161,909","0.020","","0.20","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.68 - 12.16"
"1720","IAA","Iaa Inc","51.04","49.75","50.04","697,534","-0.23","","0.46","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","47.33 - 66.85"
"1721","IAC.S","ION Acquisition Corp 2 [Iacb.U]","9.496","7.750","7.850","59,600","-2.100","","21.11","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"1722","IAC.T","ION Acquisition Corp 2 WT [Iacb/W]","1.550","1.285","1.375","62,300","-0.025","","1.79","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"1723","IACB","ION Acquisition Corp 2 Ltd Cl A","9.543","7.600","7.950","96,500","-1.420","","15.15","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"1724","IACC","ION Acquisition Corp 3 Ltd Cl A","9.790","9.780","9.790","25,000","0.010","","0.10","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"1725","IAE","VOYA Asia Pacific High Dividend Equity","8.100","8.040","8.060","63,651","0.000","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","7.90 - 9.74"
"1726","IAG","Iamgold Corp","2.990","2.910","2.910","5,978,780","-0.040","","1.36","Basic Industries","Precious Metals","5.08","36.2","1.1","N/A","0.91","2.36","857.40M","464.99M","1.35B","2.16 - 3.95"
"1727","IBA","Industrias Bachoco S.A. DE C.V. ADR","41.38","40.31","41.36","7,077","0.96","","2.38","Consumer Non-Durables","Meat/Poultry/Fish","12.72","N/A","4.68","1.41","1.61","0.94","451.65M","49.93M","2.07B","38.30 - 47.80"
"1728","IBE.U","Ibere Pharmaceuticals [Iber.U]","10.000","10.000","10.000","400","0.000","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"1729","IBE.W","Ibere Pharmaceuticals [Iber/W]","0.5500","0.5500","0.5500","2,100","-0.0501","","8.35","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"1730","IBER","Ibere Pharmaceuticals Cl A","9.730","9.730","9.730","157","0.000","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"1731","IBM","International Business Machines","125.3","123.4","124.1","4,958,815","0.5","","0.42","Technology","Computer Manufacturing","12.82","4.76","11.99","3.9","7.27","1.82","17.76B","929.40M","115.33B","114.56 - 152.84"
"1732","IBN","Icici Bank Ltd ADR","20.05","19.76","19.90","9,070,772","-0.10","","0.50","Finance","Commercial Banks","17.53","N/A","0.5","0.8","1.71","2.8","N/A","3.20B","63.75B","13.44 - 22.14"
"1733","IBP","Installed Building Products","140.4","136.9","140.2","139,564","3.0","","2.16","","","51.19","1.21","1.3","N/A","11.3","2.1","121.83M","31.66M","4.44B","92.92 - 141.10"
"1734","ICD","Independence Contract Drilling Inc","3.190","2.990","3.040","27,399","-0.050","","1.62","","","N/A","N/A","N/A","N/A","0.46","1.55","6.78M","37.68M","114.55M","2.52 - 7.97"
"1735","ICE","Intercontinental Exchange","136.0","134.3","135.5","1,739,966","0.9","","0.70","Finance","Investment Bankers/Brokers/Service","24.26","1.87","2.7","1.22","2.43","1.66","2.78B","115.00M","15.59B","107.66 - 139.79"
"1736","ICL","Israel Chemicals Ltd","9.740","9.540","9.670","204,146","0.110","","1.15","","","N/A","9.08","N/A","2.45","2.04","1.01","924.80M","1.27B","12.32B","4.49 - 9.76"
"1737","ICN.U","Iconic Sports Acquisition Corp [Icnc.U]","10.07","10.07","10.07","100","-0.04","","0.44","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"1738","ICR-A","Inpoint Coml Real Estate Income Inc","25.05","25.02","25.02","5,715","-0.03","","0.12","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"1739","IDA","Idacorp Inc","109.9","108.9","109.2","139,845","0.4","","0.40","Public Utilities","Electric Utilities: Central","23.54","5.73","3.96","2.53","2.12","3.55","438.95M","50.44M","5.51B","85.30 - 110.21"
"1740","IDE","VOYA Infrastructure Industrial","11.95","11.83","11.83","66,441","-0.12","","1.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","10.27 - 13.90"
"1741","IDT","IDT Corp","45.10","42.56","43.77","183,647","-0.29","","0.66","Public Utilities","Telecommunications Equipment","37.97","N/A","0.35","5.6","2.31","0.22","23.53M","24.84M","1.09B","11.85 - 67.30"
"1742","IEX","Idex Corp","236.8","234.9","236.3","193,572","0.9","","0.40","Capital Goods","Fluid Controls","32.92","2.02","3.9","1.15","5.45","4.42","576.00M","76.32M","18.03B","185.23 - 238.56"
"1743","IFF","International Flavors & Fragrances","148.8","146.0","147.1","1,050,358","-0.4","","0.24","Basic Industries","Major Chemicals","29.98","3.57","4.96","1.86","7.08","3.69","671.23M","78.96M","11.62B","103.94 - 157.08"
"1744","IFI.U","Infint Acquisition Corp [Ifin.U]","10.06","10.06","10.06","10,210","0.01","","0.10","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"1745","IFN","India Fund","22.34","22.11","22.29","179,130","0.19","","0.86","Finance","Closed-End Fund - Foreign","N/A","N/A","N/A","11.47","N/A","N/A","N/A","N/A","N/A","19.34 - 23.78"
"1746","IFS","Intercorp Financial Services Inc","24.43","23.53","24.36","51,252","0.24","","1.00","Basic Materials","Oil & Gas Equipment & Services","48.39","2.48","0.651","N/A","3.58","1.34","73.70M","39.82K","969.92K","17.67 - 35.96"
"1747","IGA","VOYA Global Advantage and Premium","10.24","10.02","10.12","56,000","-0.05","","0.49","Finance","Closed-End Fund - Equity","N/A","N/A","1.98","N/A","N/A","N/A","N/A","N/A","N/A","8.54 - 10.33"
"1748","IGD","VOYA Global Equity Dividend and Premium","6.040","5.950","6.000","255,094","0.000","","0.00","Finance","Closed-End Fund - Equity","N/A","N/A","1.37","N/A","N/A","N/A","N/A","N/A","N/A","5.13 - 6.25"
"1749","IGI","Western Asset Investment Grade Defined","21.46","21.16","21.21","30,056","-0.01","","0.05","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","20.50 - 23.76"
"1750","IGR","CBRE Global Real Estate Income Fund","9.340","9.260","9.310","183,917","0.010","","0.11","Finance","Closed-End Fund - Equity","N/A","N/A","0.22","N/A","N/A","N/A","N/A","N/A","N/A","6.56 - 9.44"
"1751","IGT","International Game Technology","25.70","24.81","24.96","988,808","-0.60","","2.35","Consumer Durables","Miscellaneous manufacturing industries","N/A","N/A","N/A","3.51","1.34","0.93","1.45B","202.97M","5.07B","14.21 - 32.95"
"1752","IH","Ihuman Inc ADR","3.570","3.410","3.450","18,337","0.050","","1.47","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3.35 - 24.50"
"1753","IHC","Independence Holding Company","56.59","56.44","56.46","140,930","-0.21","","0.37","Finance","Life Insurance","14.93","N/A","1.88","0.44","0.98","1.32","28.93M","14.98M","845.77M","36.99 - 57.43"
"1754","IHD","VOYA Emerging Markets High Dividend","7.220","7.130","7.180","91,426","0.010","","0.14","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","7.06 - 8.71"
"1755","IHG","Intercontinental Hotels Group ADR","63.02","62.41","62.85","99,702","-0.02","","0.03","Consumer Services","Hotels/Resorts","24.68","N/A","2.23","1.19","N/A","6.19","780.00M","196.07M","12.32B","59.44 - 75.20"
"1756","IHIT","Invesco High Income 2023 Target Term","9.790","9.750","9.780","35,706","0.020","","0.20","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","8.33 - 10.12"
"1757","IHS","IHS Holding Limited","13.27","12.72","12.98","173,764","-0.15","","1.14","Technology","Computer Software: Programming, Data Processing","N/A","N/A","3.58","N/A","N/A","N/A","N/A","N/A","N/A","92.59 - 126.94"
"1758","IHTA","Invesco High Income 2024 Target Term","9.900","9.850","9.890","3,168","0.020","","0.20","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","8.59 - 10.10"
"1759","IIA.U","Investindustrial Acquisition Corp","10.39","10.39","10.39","1,714","0.01","","0.10","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.95 - 11.57"
"1760","IIA.W","Investindustrial Acquisition Corp","1.760","1.660","1.720","55,822","-0.040","","2.27","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"1761","IIAC","Investindustrial Acquisition Corp Cl A","10.050","9.840","9.890","197,225","-0.100","","1.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"1762","IIF","Morgan Stanley India Investment Fund Inc","26.47","26.31","26.39","16,700","0.19","","0.73","Finance","Closed-End Fund - Foreign","N/A","N/A","1.34","N/A","N/A","N/A","N/A","N/A","N/A","19.94 - 28.40"
"1763","IIIN","Insteel Industries","39.23","37.67","38.02","85,073","-0.74","","1.91","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"1764","IIM","Invesco Insured Muni Income Trust","16.74","16.54","16.65","91,910","0.14","","0.85","Finance","Closed-End Fund - Debt","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","15.03 - 17.29"
"1765","IIP-A","Innovative Indl Pptys Inc [Iipr/Pa]","32.41","32.00","32.41","1,012","-0.99","","2.96","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","29.40 - 40.00"
"1766","IIPR","Innovative Industrial Properties","259.6","251.3","255.3","236,841","-1.4","","0.54","","","N/A","N/A","N/A","3.09","1.13","148.39","N/A","3.50M","893.61M","158.28 - 288.02"
"1767","IMAX","Imax Corp","18.31","17.51","18.27","884,923","0.54","","3.05","Miscellaneous","Industrial Machinery/Components","168.24","2.72","0.15","N/A","2.94","4.34","72.50M","64.66M","1.18B","13.60 - 25.05"
"1768","IMP.U","Aea Bridges Impact Corp [Impx.U]","10.26","10.26","10.26","500","-0.20","","1.90","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","10.00 - 12.41"
"1769","IMP.W","Aea Bridges Impact Corp WT [Impx/W]","0.8100","0.7600","0.8100","53,547","0.0002","","0.02","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.58 - 2.33"
"1770","IMPX","Aea-Bridges Impact Corp Cl A","9.850","9.830","9.850","134,277","0.020","","0.20","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.58 - 11.42"
"1771","INA.U","Insight Acquisition Corp [Inaq.U]","10.05","10.05","10.05","100","0.07","","0.70","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"1772","INA.W","Insight Acquisition Corp WT [Inaq/W]","0.5100","0.5000","0.5000","3,400","-0.0300","","5.66","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"1773","INAQ","Insight Acquisition Corp Cl A","9.780","9.740","9.780","1,748","0.020","","0.20","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"1774","INFA","Informatica Inc Cl A","39.00","35.01","38.52","775,272","3.52","","10.06","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"1775","INFO","IHS Markit Ltd","132.9","130.6","132.8","976,986","1.6","","1.23","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","83.26 - 132.91"
"1776","INFY","Infosys Ltd ADR","23.53","23.06","23.19","4,001,319","-0.06","","0.26","","","15.81","1.62","0.95","2.66","3.23","3.31","2.81B","2.29B","53.01B","15.49 - 24.28"
"1777","ING","ING Groep N.V. ADR","13.89","13.73","13.87","2,651,329","0.01","","0.07","Finance","Life Insurance","12.07","N/A","1.53","3.05","1.21","3.45","N/A","3.88B","53.87B","8.66 - 15.65"
"1778","INGR","Ingredion Inc","97.02","96.17","96.35","278,481","-0.02","","0.02","","","18.95","8.7","6.65","1.91","3.36","1.55","1.05B","71.73M","6.91B","73.82 - 101.30"
"1779","INN","Summit Hotel Properties","9.640","9.300","9.450","576,822","-0.070","","0.74","Consumer Services","Real Estate Investment Trusts","17.18","N/A","0.91","4.33","1.36","3.44","154.58M","104.46M","987.13M","8.06 - 11.32"
"1780","INN-E","Summit Hotel Pptys Inc [Inn/Pe]","25.03","24.75","24.84","2,551","-0.07","","0.28","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","21.62 - 27.29"
"1781","INN-F","Summit Hotel Properties Inc","25.60","24.78","25.60","6,505","0.23","","0.89","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"1782","INS","Intelligent Systems Corp","42.62","41.20","41.37","46,545","-0.05","","0.12","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"1783","INS-A","International Seaways Inc [Insw/Pa]","26.66","26.64","26.66","2,480","0.46","","1.76","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25.21 - 27.29"
"1784","INSI","Insight Select Income Fund","21.45","20.62","21.09","22,094","-0.25","","1.17","","","N/A","N/A","1.45","N/A","N/A","N/A","N/A","N/A","N/A","19.90 - 23.27"
"1785","INSP","Inspire Medical Systems Inc","225.4","217.2","220.0","245,998","0.5","","0.24","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","159.18 - 286.29"
"1786","INST","Instructure Holdings Inc","24.30","23.23","24.14","231,565","0.57","","2.42","","","N/A","N/A","N/A","N/A","N/A","7.25","N/A","29.38M","709.21M","37.06 - 54.31"
"1787","INSW","International Seaways Inc","16.08","15.55","15.99","425,960","0.32","","2.04","","","N/A","N/A","N/A","N/A","0.49","1.77","85.71M","29.25M","467.67M","13.77 - 22.39"
"1788","INT","World Fuel Services Corp","27.47","26.87","27.43","250,998","0.45","","1.67","Energy","Oil Refining/Marketing","19.95","1.63","1.53","0.67","1.24","0.08","259.20M","68.59M","1.88B","24.29 - 37.68"
"1789","INVH","Invitation Homes Inc","43.04","42.51","42.73","3,871,694","0.01","","0.02","","","N/A","N/A","N/A","1.39","1.94","7.47","430.36M","311.41M","13.31B","27.44 - 43.58"
"1790","IO","ION Geophysical Corp","1.600","1.520","1.550","166,110","0.000","","0.00","Energy","Oil & Gas Production","N/A","N/A","N/A","N/A","4.18","0.48","49.11M","11.88M","18.42M","0.98 - 5.35"
"1791","ION.W","Ionq Inc WT [Ionq/W]","8.940","7.350","7.470","94,122","-0.350","","4.48","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"1792","IONQ","Ionq Inc","19.58","18.13","18.57","3,599,432","-0.04","","0.21","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"1793","IP","International Paper Company","46.50","45.74","45.89","4,555,124","-0.28","","0.61","Basic Industries","Paper","29.43","1.58","1.97","3.28","5.27","1.09","3.22B","412.94M","18.95B","45.07 - 65.27"
"1794","IPG","Interpublic Group of Companies","37.10","36.56","37.04","4,335,529","0.56","","1.54","Technology","Advertising","14.16","1.36","1.39","3.66","4","1.01","1.09B","393.49M","14.57B","22.99 - 39.35"
"1795","IPI","Intrepid Potash Inc","42.88","41.02","42.24","46,731","0.52","","1.25","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","N/A","0.34","N/A","N/A","1.16","3.49","N/A","122.62M","5.18B","15.08 - 52.91"
"1796","IPO.D","Social Capital Hedosophia IV Unit","10.90","10.81","10.84","3,229","-0.06","","0.55","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","10.20 - 19.47"
"1797","IPO.F","Social Capital Hedosophia VI Unit","11.00","10.93","10.96","4,055","-0.11","","0.99","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","10.03 - 19.35"
"1798","IPO.V","Social Capital Hedosophia IV WT [Ipod/W]","2.300","2.170","2.300","63,157","-0.050","","2.13","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1.35 - 6.68"
"1799","IPO.Z","Social Capital Hedosophia VI WT [Ipof/W]","2.350","2.190","2.350","125,882","-0.030","","1.26","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1.20 - 6.97"
"1800","IPOD","Social Capital Hedosophia Corp IV Cl A","10.35","10.26","10.28","183,129","-0.03","","0.29","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.82 - 18.31"
"1801","IPOF","Social Capital Hedosophia Corp VI Cl A","10.46","10.36","10.41","1,172,339","-0.12","","1.14","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.77 - 17.81"
"1802","IPV.D","Interprivate II Acquisition Corp","9.907","9.907","9.907","1,800","-0.053","","0.54","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"1803","IPV.S","Interprivate III Finl Partners [Ipvf.U]","10.09","10.09","10.09","400","-0.19","","1.85","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"1804","IPV.T","Interprivate III Finl Partners WT","1.850","1.790","1.790","1,800","-0.020","","1.10","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"1805","IPV.V","Interprivate II Acquisition Corp WT","0.9799","0.9799","0.9799","1,000","0.0899","","10.10","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"1806","IPVA","Interprivate II Acquisition Corp Cl A","9.730","9.700","9.730","78,264","0.000","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"1807","IPVF","Interprivate III Financial Partners Inc","9.900","9.900","9.900","69,301","-0.010","","0.10","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"1808","IQI","Invesco Quality Muni Income Trust","13.38","13.25","13.31","71,910","0.05","","0.38","Finance","Closed-End Fund - Debt","N/A","N/A","0.102","N/A","N/A","N/A","N/A","N/A","N/A","12.41 - 13.98"
"1809","IQV","Iqvia Holdings Inc","272.0","267.3","270.3","708,411","1.2","","0.43","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","165.52 - 272.93"
"1810","IR","Ingersoll Rand Inc","60.19","59.25","59.59","1,663,561","-0.33","","0.55","Capital Goods","Auto Parts:O.E.M.","22.63","2.1","4.03","1.99","3.43","1.66","1.98B","253.65M","15.11B","40.64 - 62.06"
"1811","IRL","Irish Investment Fund","12.48","12.48","12.48","412","-0.35","","2.73","Finance","Closed-End Fund - Foreign","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9.86 - 13.55"
"1812","IRM","Iron Mountain Inc","48.53","47.48","48.42","1,495,901","1.14","","2.41","Consumer Services","Office Equipment/Supplies/Services","54.87","1.07","0.73","5.93","5.65","2.78","1.21B","264.50M","12.81B","27.72 - 49.58"
"1813","IRN.W","Ironnet Inc WT [Irnt.W]","1.790","1.620","1.680","32,819","-0.070","","4.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"1814","IRNT","Ironnet Inc","7.600","6.970","7.150","1,326,796","-0.240","","3.25","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"1815","IRR.U","Integrated Rail & Resources Acquisition","10.05","10.00","10.05","2,033","0.02","","0.20","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"1816","IRS","Irsa Inversiones Y Representaciones S.A.","4.660","4.390","4.580","67,247","0.160","","3.62","Consumer Services","Homebuilding","9.25","N/A","3.03","N/A","1.09","0.38","571.80M","57.46M","263.16M","3.48 - 5.17"
"1817","IRS.W","Irsa Inversiones Y Representaciones S.A.","0.1700","0.1500","0.1700","19,355","0.0000","","0.00","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"1818","IRT","Independence Realty Trust Inc","25.12","24.49","24.49","1,693,142","-0.49","","1.96","","","N/A","4.53","N/A","6.92","1.42","4.62","30.95M","68.85M","1.69B","12.88 - 25.86"
"1819","IS","Ironsource Ltd Cl A","8.590","8.050","8.130","959,411","-0.170","","2.05","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"1820","ISD","Prudential Short Duration High","15.87","15.74","15.76","147,759","-0.03","","0.19","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","14.70 - 16.66"
"1821","ISO.U","Isos Acquisition Corp Units [Isos.U]","10.25","10.16","10.22","15,400","-0.09","","0.87","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"1822","ISO.W","Isos Acquisition Corp WT [Isos/W]","1.300","1.110","1.120","75,260","-0.160","","12.50","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"1823","ISOS","Isos Acquisition Corp Cl A","9.890","9.790","9.800","8,256","-0.030","","0.31","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"1824","IT","Gartner Inc","322.7","311.8","322.0","439,064","10.8","","3.48","Consumer Services","Other Consumer Services","256.98","2.03","0.49","N/A","13.24","4.12","373.34M","90.61M","29.18B","149.74 - 369.00"
"1825","ITCB","Itau Corpbanca ADR","3.090","3.010","3.090","2,738","0.050","","1.64","","","N/A","N/A","N/A","0.02","0.93","3.74","N/A","341.91M","1.06B","2.91 - 6.23"
"1826","ITGR","Integer Holdings Corp","84.79","83.07","83.16","186,148","-1.15","","1.36","","","84.79","1.83","0.58","N/A","2.01","1.12","275.57M","31.61M","2.63B","73.32 - 101.61"
"1827","ITT","ITT Inc","102.2","100.7","101.0","195,205","-0.6","","0.62","Capital Goods","Fluid Controls","20.13","1.6","2.34","1.08","2.7","1.72","360.20M","88.09M","8.89B","74.46 - 105.54"
"1828","ITUB","Itau Unibanco Banco Holding S.A. ADR","3.920","3.850","3.880","25,649,488","0.000","","0.00","Finance","Major Banks","11.75","1.71","1.14","0.43","2.18","3.01","N/A","6.50B","25.22B","3.83 - 6.76"
"1829","ITW","Illinois Tool Works Inc","243.8","240.9","242.8","701,626","1.2","","0.48","Technology","Industrial Machinery/Components","25.74","2.31","6.18","1.98","11.36","3.88","3.70B","344.15M","83.55B","192.89 - 244.45"
"1830","IVA.U","Ivanhoe Cap Acquisition Corp Unit","10.94","10.85","10.91","1,503","-0.04","","0.37","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"1831","IVA.W","Ivanhoe Cap Acquisition Corp WT [Ivan/W]","2.350","2.210","2.270","35,678","-0.090","","3.81","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"1832","IVAN","Ivanhoe Capital Acquisition Corp Cl A","10.27","10.11","10.13","631,870","-0.08","","0.78","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"1833","IVC","Invacare Corp","2.870","2.750","2.810","692,198","0.020","","0.72","Health Care","Industrial Specialties","N/A","N/A","N/A","0.33","1.15","0.5","N/A","32.87M","92.37M","2.18 - 10.94"
"1834","IVH","Ivy High Income Opportunities","13.72","13.60","13.62","58,724","-0.04","","0.29","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","16.57M","225.64M","12.76 - 14.34"
"1835","IVR","Invesco Mortgage Capital Inc","3.140","3.030","3.030","4,873,502","-0.080","","2.57","Consumer Services","Real Estate Investment Trusts","4.18","N/A","4.19","9.45","0.95","3.18","N/A","111.74M","338.59M","2.93 - 4.60"
"1836","IVR-B","Invesco Mortgage Capital Inc [Ivr/Pb]","24.99","24.76","24.97","6,010","-0.02","","0.08","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","23.14 - 26.02"
"1837","IVR-C","Invesco Mortgage Capital Inc [Ivr/Pc]","25.20","25.00","25.12","3,547","-0.15","","0.59","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","22.91 - 25.99"
"1838","IVT","Inventrust Pptys Corp","27.48","26.30","26.85","917,164","0.60","","2.29","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
"1839","IVZ","Invesco Plc","23.72","22.92","23.14","2,531,726","-0.07","","0.30","Finance","Investment Managers","16.45","0.99","2.24","3.12","1.9","3.12","1.37B","406.89M","9.42B","16.82 - 29.71"
"1840","IX","Orix Corp ADR","99.84","99.23","99.82","9,995","0.52","","0.52","Finance","Diversified Financial Services","8.37","N/A","10.14","N/A","0.93","0.82","6.33B","255.77M","25.53B","72.71 - 104.05"
"1841","J","Jacobs Engineering Group Inc","144.4","142.6","143.4","379,944","1.3","","0.90","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","100.05 - 149.55"
"1842","JAT.U","Jatt Acquisition Corp [Jatt.U]","10.09","10.02","10.02","1,200","-0.07","","0.69","","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0.00 - 0.00"
